COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG DESTINY BRIGHTER;4e;2;2;4;2;2;4;8.68;8.22;8.52;6.28;0.0;50.0;25.0;0.0;0.0;0.0;100.0;50.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG DESTINY BRIGHTER;3e;1;3;4;1;3;4;10.57;13.23;10.57;7.03;0.0;0.0;0.0;0.0;33.3;25.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;33.3;50.0;0.0;33.3;25.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG DESTINY BRIGHTER;Cycle 1;10;12;22;9;12;21;15.18;14.67;5.25;6.28;11.1;8.3;9.5;0.0;8.3;4.8;22.2;8.3;14.3;11.1;0.0;4.8;22.2;25.0;23.8;11.1;41.7;28.6;22.2;8.3;14.3;0.0;0.0;0.0;;;;
CPEG ESPERANCE;6e;3;4;7;3;4;7;15.38;17.26;13.95;13.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;25.0;28.6;66.7;25.0;42.9;0.0;50.0;28.6;;;;
CPEG ESPERANCE;Cycle 1;3;4;7;3;4;7;15.38;17.26;13.95;13.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;25.0;28.6;66.7;25.0;42.9;0.0;50.0;28.6;;;;
CPEG CITE PROTESTANTE;6e;24;22;46;23;22;45;18.31;18.14;6.98;8.64;0.0;0.0;0.0;4.3;0.0;2.2;4.3;4.5;4.4;0.0;4.5;2.2;30.4;0.0;15.6;39.1;31.8;35.6;8.7;36.4;22.2;13.0;22.7;17.8;;;;
CPEG CITE PROTESTANTE;5e;16;19;35;16;18;34;18;17.94;11;9.42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7;8.8;31.3;16.7;23.5;31.3;33.3;32.4;12.5;22.2;17.6;25.0;11.1;17.6;;;;
CPEG CITE PROTESTANTE;4e;14;11;25;14;11;25;14.55;17.02;8.12;8.21;0.0;0.0;0.0;0.0;0.0;0.0;14.3;36.4;24.0;21.4;9.1;16.0;28.6;9.1;20.0;28.6;18.2;24.0;7.1;9.1;8.0;0.0;18.2;8.0;;;;
CPEG CITE PROTESTANTE;3e;18;11;29;18;11;29;12.38;15.05;6.45;7.87;5.6;0.0;3.4;11.1;0.0;6.9;22.2;18.2;20.7;22.2;0.0;13.8;27.8;45.5;34.5;11.1;18.2;13.8;0.0;18.2;6.9;0.0;0.0;0.0;;;;
CPEG CITE PROTESTANTE;Cycle 1;72;63;135;71;62;133;18.31;18.14;6.45;7.87;1.4;0.0;0.8;4.2;0.0;2.3;9.9;11.3;10.5;9.9;8.1;9.0;29.6;14.5;22.6;28.2;27.4;27.8;7.0;24.2;15.0;9.9;14.5;12.0;;;;
CPEG MADONE;6e;25;20;45;25;20;45;16.65;17.74;8.12;6.38;0.0;5.0;2.2;0.0;0.0;0.0;12.0;0.0;6.7;16.0;5.0;11.1;36.0;30.0;33.3;12.0;35.0;22.2;20.0;20.0;20.0;4.0;5.0;4.4;;;;
CPEG MADONE;5e;21;25;46;21;25;46;16.73;16.61;5.59;8.77;4.8;0.0;2.2;0.0;0.0;0.0;4.8;8.0;6.5;19.0;12.0;15.2;38.1;40.0;39.1;19.0;32.0;26.1;9.5;4.0;6.5;4.8;4.0;4.3;;;;
CPEG MADONE;4e;20;15;35;20;15;35;16.77;13.87;6.89;8.85;0.0;0.0;0.0;5.0;0.0;2.9;20.0;6.7;14.3;25.0;6.7;17.1;20.0;66.7;40.0;10.0;20.0;14.3;10.0;0.0;5.7;10.0;0.0;5.7;;;;
CPEG MADONE;3e;17;29;46;17;28;45;13.5;13.42;7.73;7.5;0.0;0.0;0.0;0.0;0.0;0.0;29.4;32.1;31.1;29.4;28.6;28.9;23.5;25.0;24.4;17.6;14.3;15.6;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;Cycle 1;83;89;172;83;88;171;16.77;17.74;5.59;6.38;1.2;1.1;1.2;1.2;0.0;0.6;15.7;13.6;14.6;21.7;14.8;18.1;30.1;37.5;33.9;14.5;25.0;19.9;10.8;5.7;8.2;4.8;2.3;3.5;;;;
CPEG MADONE;2nde A1;1;1;2;1;1;2;9.59;9.27;9.59;9.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;2nde A2;4;5;9;4;5;9;13.9;13.74;11.22;11.54;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.0;20.0;22.2;75.0;80.0;77.8;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;2nde D;10;9;19;8;9;17;14.26;13.69;4.51;7.16;12.5;0.0;5.9;0.0;11.1;5.9;25.0;11.1;17.6;12.5;22.2;17.6;37.5;44.4;41.2;0.0;11.1;5.9;12.5;0.0;5.9;0.0;0.0;0.0;;;;
CPEG MADONE;1ère A2;6;13;19;6;13;19;13.3;13.36;7.09;8.04;0.0;0.0;0.0;16.7;0.0;5.3;16.7;30.8;26.3;16.7;0.0;5.3;33.3;38.5;36.8;16.7;30.8;26.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;1ère D;9;8;17;9;7;16;14.32;12.55;9.28;8.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;6.3;33.3;14.3;25.0;44.4;42.9;43.8;11.1;28.6;18.8;11.1;0.0;6.3;0.0;0.0;0.0;;;;
CPEG MADONE;Tle A2;5;9;14;5;9;14;9.85;11.79;7.55;7.34;0.0;0.0;0.0;0.0;11.1;7.1;80.0;33.3;50.0;20.0;11.1;14.3;0.0;44.4;28.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;Tle D;8;11;19;8;11;19;12.82;13.45;7.32;7.62;0.0;0.0;0.0;12.5;0.0;5.3;25.0;36.4;31.6;12.5;0.0;5.3;25.0;18.2;21.1;25.0;45.5;36.8;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG MADONE;Cycle 2;43;56;99;41;55;96;14.32;13.74;4.51;7.16;2.4;0.0;1.0;4.9;3.6;4.2;22.0;23.6;22.9;19.5;9.1;13.5;29.3;34.5;32.3;17.1;29.1;24.0;4.9;0.0;2.1;0.0;0.0;0.0;;;;
CPEG LEADER;6e;6;6;12;6;6;12;16.07;15.62;6.28;11.25;16.7;0.0;8.3;0.0;0.0;0.0;33.3;0.0;16.7;0.0;0.0;0.0;33.3;50.0;41.7;0.0;0.0;0.0;0.0;50.0;25.0;16.7;0.0;8.3;;;;
CPEG LEADER;5e;13;7;20;13;7;20;16.25;16.11;8.19;8.07;0.0;0.0;0.0;0.0;0.0;0.0;15.4;14.3;15.0;7.7;0.0;5.0;46.2;28.6;40.0;15.4;28.6;20.0;7.7;14.3;10.0;7.7;14.3;10.0;;;;
CPEG LEADER;4e;10;6;16;10;6;16;13.45;12.57;7.12;6.27;0.0;16.7;6.3;10.0;0.0;6.3;10.0;0.0;6.3;30.0;16.7;25.0;40.0;50.0;43.8;10.0;16.7;12.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;3e;21;10;31;21;10;31;13.24;10.77;5.59;6.09;9.5;20.0;12.9;9.5;20.0;12.9;14.3;10.0;12.9;23.8;20.0;22.6;33.3;30.0;32.3;9.5;0.0;6.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;Cycle 1;50;29;79;50;29;79;16.25;16.11;5.59;6.09;6.0;10.3;7.6;6.0;6.9;6.3;16.0;6.9;12.7;18.0;10.3;15.2;38.0;37.9;38.0;10.0;10.3;10.1;2.0;13.8;6.3;4.0;3.4;3.8;;;;
CPEG LEADER;2nde A2;4;4;8;4;4;8;11.42;11.88;10;9.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;25.0;100.0;50.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;2nde D;4;1;5;4;1;5;11.66;12.84;8.81;12.84;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;20.0;0.0;0.0;0.0;75.0;0.0;60.0;0.0;100.0;20.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;1ère A2;10;5;15;10;5;15;11;12.25;6.97;7.64;0.0;0.0;0.0;10.0;0.0;6.7;50.0;80.0;60.0;0.0;0.0;0.0;40.0;0.0;26.7;0.0;20.0;6.7;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;1ère D;10;4;14;9;4;13;11.63;10.94;7.55;7.11;0.0;0.0;0.0;0.0;25.0;7.7;11.1;25.0;15.4;22.2;25.0;23.1;66.7;25.0;53.8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;Tle A2;20;8;28;19;7;26;11.43;11.18;5.99;6.03;10.5;14.3;11.5;5.3;14.3;7.7;26.3;28.6;26.9;36.8;14.3;30.8;21.1;28.6;23.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG LEADER;Cycle 2;48;22;70;46;21;67;11.66;12.84;5.99;6.03;4.3;4.8;4.5;4.3;9.5;6.0;26.1;33.3;28.4;19.6;19.0;19.4;45.7;23.8;38.8;0.0;9.5;3.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG AGBOTON;5e;6;4;10;6;4;10;15.25;13.69;11.23;10.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;50.0;40.0;33.3;50.0;40.0;33.3;0.0;20.0;0.0;0.0;0.0;;;;
CPEG AGBOTON;Cycle 1;6;4;10;6;4;10;15.25;13.69;11.23;10.48;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;50.0;40.0;33.3;50.0;40.0;33.3;0.0;20.0;0.0;0.0;0.0;;;;
CPEG NATIVITE;6e;13;17;30;13;17;30;15.25;15.96;8.6;6.33;0.0;5.9;3.3;0.0;5.9;3.3;7.7;0.0;3.3;0.0;0.0;0.0;7.7;17.6;13.3;38.5;41.2;40.0;46.2;29.4;36.7;0.0;0.0;0.0;;;;
CPEG NATIVITE;5e;10;9;19;10;9;19;16.63;16.47;11.45;9.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;5.3;10.0;11.1;10.5;20.0;22.2;21.1;50.0;44.4;47.4;20.0;11.1;15.8;;;;
CPEG NATIVITE;4e;11;21;32;11;21;32;14.86;18.04;8.97;6.98;0.0;0.0;0.0;0.0;4.8;3.1;9.1;14.3;12.5;18.2;14.3;15.6;27.3;38.1;34.4;27.3;9.5;15.6;18.2;14.3;15.6;0.0;4.8;3.1;;;;
CPEG NATIVITE;3e;14;12;26;14;12;26;15.55;16.21;7.89;9.42;0.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;7.7;21.4;8.3;15.4;21.4;58.3;38.5;14.3;8.3;11.5;28.6;16.7;23.1;0.0;8.3;3.8;;;;
CPEG NATIVITE;Cycle 1;48;59;107;48;59;107;16.63;18.04;7.89;6.33;0.0;1.7;0.9;0.0;3.4;1.9;8.3;5.1;6.5;10.4;8.5;9.3;16.7;32.2;25.2;25.0;20.3;22.4;35.4;23.7;29.0;4.2;5.1;4.7;;;;
CPEG NIS;6e;20;16;36;20;16;36;16.58;16.58;10.33;11.69;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.0;12.5;22.2;40.0;43.8;41.7;25.0;37.5;30.6;5.0;6.3;5.6;;;;
CPEG NIS;5e;10;11;21;10;11;21;15.43;15.26;8.93;7.89;0.0;0.0;0.0;0.0;0.0;0.0;10.0;9.1;9.5;10.0;0.0;4.8;30.0;9.1;19.0;30.0;72.7;52.4;20.0;9.1;14.3;0.0;0.0;0.0;;;;
CPEG NIS;4e;5;8;13;5;8;13;13.03;15.79;11.12;8.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;7.7;0.0;12.5;7.7;60.0;37.5;46.2;40.0;12.5;23.1;0.0;25.0;15.4;0.0;0.0;0.0;;;;
CPEG NIS;3e;4;6;10;4;6;10;11.08;15;9.52;8.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;20.0;50.0;16.7;30.0;50.0;16.7;30.0;0.0;0.0;0.0;0.0;33.3;20.0;0.0;0.0;0.0;;;;
CPEG NIS;Cycle 1;39;41;80;39;41;80;16.58;16.58;8.93;7.89;0.0;0.0;0.0;0.0;0.0;0.0;2.6;9.8;6.3;7.7;4.9;6.3;35.9;17.1;26.3;33.3;39.0;36.3;17.9;26.8;22.5;2.6;2.4;2.5;;;;
CPEG NIS;2nde A2;2;6;8;2;6;8;12.77;15.39;10.68;11.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;33.3;37.5;50.0;50.0;50.0;0.0;16.7;12.5;0.0;0.0;0.0;;;;
CPEG NIS;1ère A2;0;2;2;0;2;2;;13.25;;12.12;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;100.0;100.0;;0.0;0.0;;0.0;0.0;;;;
CPEG NIS;Cycle 2;2;8;10;2;8;10;12.77;15.39;0;11.39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;25.0;30.0;50.0;62.5;60.0;0.0;12.5;10.0;0.0;0.0;0.0;;;;
CPEG NOTRE DAME DU BORGOU;6e;17;21;38;17;21;38;17.98;18.24;7.72;8.44;0.0;0.0;0.0;0.0;0.0;0.0;11.8;14.3;13.2;11.8;9.5;10.5;5.9;14.3;10.5;35.3;28.6;31.6;17.6;23.8;21.1;17.6;9.5;13.2;;;;
CPEG NOTRE_DAME DU BORGOU;5e;16;18;34;16;18;34;16.7;17.54;9.05;10.49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.8;0.0;8.8;25.0;16.7;20.6;31.3;38.9;35.3;6.3;27.8;17.6;18.8;16.7;17.6;;;;
CPEG NOTRE_DAME DU BORGOU;4e;17;13;30;17;12;29;16.56;17.96;8.29;9.05;0.0;0.0;0.0;0.0;0.0;0.0;5.9;0.0;3.4;5.9;33.3;17.2;41.2;41.7;41.4;23.5;0.0;13.8;17.6;8.3;13.8;5.9;16.7;10.3;;;;
CPEG NOTRE_DAME DU BORGOU;3e;12;8;20;12;8;20;14.71;15.74;7.53;8.24;0.0;0.0;0.0;0.0;0.0;0.0;8.3;12.5;10.0;25.0;50.0;35.0;41.7;12.5;30.0;8.3;12.5;10.0;16.7;12.5;15.0;0.0;0.0;0.0;;;;
CPEG NOTRE_DAME_BORGOU;Cycle 1;62;60;122;62;59;121;17.98;18.24;7.53;8.24;0.0;0.0;0.0;0.0;0.0;0.0;6.5;6.8;6.6;14.5;16.9;15.7;27.4;20.3;24.0;25.8;23.7;24.8;14.5;20.3;17.4;11.3;11.9;11.6;;;;
CPEG OZANAM;6e;21;21;42;21;21;42;16.47;16.75;8.37;10.5;0.0;0.0;0.0;0.0;0.0;0.0;14.3;0.0;7.1;9.5;0.0;4.8;23.8;14.3;19.0;42.9;42.9;42.9;4.8;28.6;16.7;4.8;14.3;9.5;;;;
CPEG OZANAM;5e;26;19;45;26;17;43;16.7;18.56;9.48;10.71;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;0.0;7.0;46.2;23.5;37.2;15.4;41.2;25.6;23.1;17.6;20.9;3.8;17.6;9.3;;;;
CPEG OZANAM;4e;33;31;64;30;28;58;17.91;16.55;7.63;7.42;0.0;0.0;0.0;0.0;7.1;3.4;6.7;14.3;10.3;16.7;10.7;13.8;46.7;28.6;37.9;20.0;25.0;22.4;6.7;7.1;6.9;3.3;7.1;5.2;;;;
CPEG OZANAM;3e;16;22;38;16;22;38;18.14;14.88;7.46;8.16;0.0;0.0;0.0;6.3;0.0;2.6;6.3;13.6;10.5;25.0;13.6;18.4;31.3;54.5;44.7;25.0;13.6;18.4;0.0;4.5;2.6;6.3;0.0;2.6;;;;
CPEG OZANAM;Cycle 1;96;93;189;93;88;181;18.14;18.56;7.46;7.42;0.0;0.0;0.0;1.1;2.3;1.7;6.5;8.0;7.2;15.1;6.8;11.0;38.7;30.7;34.8;24.7;29.5;27.1;9.7;13.6;11.6;4.3;9.1;6.6;;;;
CPEG OZANAM;2nde A2;5;13;18;4;12;16;14.16;14.69;10.87;9.72;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16.7;12.5;25.0;16.7;18.8;50.0;41.7;43.8;25.0;25.0;25.0;0.0;0.0;0.0;;;;
CPEG OZANAM;2nde D;9;9;18;8;9;17;12.79;14.68;9.15;11.33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;0.0;5.9;75.0;33.3;52.9;12.5;55.6;35.3;0.0;11.1;5.9;0.0;0.0;0.0;;;;
CPEG OZANAM;1ère A2;5;7;12;3;7;10;12.83;12.21;11.48;8.79;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;10.0;0.0;42.9;30.0;33.3;28.6;30.0;66.7;14.3;30.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG OZANAM;1ère D;7;9;16;7;8;15;13.42;13.57;9.14;9.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.6;25.0;26.7;28.6;25.0;26.7;42.9;50.0;46.7;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG OZANAM;Tle A2;4;12;16;2;7;9;11.74;11.89;10.4;10.13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;100.0;100.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG OZANAM;Tle D;8;16;24;7;15;22;12.73;14.86;7.07;7.46;0.0;0.0;0.0;14.3;6.7;9.1;0.0;13.3;9.1;14.3;20.0;18.2;57.1;26.7;36.4;14.3;20.0;18.2;0.0;13.3;9.1;0.0;0.0;0.0;;;;
CPEG OZANAM;Cycle 2;38;66;104;31;58;89;14.16;14.86;7.07;7.46;0.0;0.0;0.0;3.2;1.7;2.2;0.0;5.2;3.4;12.9;17.2;15.7;51.6;34.5;40.4;29.0;31.0;30.3;3.2;10.3;7.9;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;6e;5;2;7;5;1;6;14.88;11.65;10.85;11.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;100.0;33.3;60.0;0.0;50.0;20.0;0.0;16.7;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;5e;8;5;13;8;5;13;12.97;14.91;9.45;8.46;0.0;0.0;0.0;0.0;0.0;0.0;0.0;20.0;7.7;25.0;0.0;15.4;62.5;40.0;53.8;12.5;20.0;15.4;0.0;20.0;7.7;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;4e;9;3;12;8;3;11;12.19;10.39;8.17;9.62;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;18.2;37.5;33.3;36.4;25.0;66.7;36.4;12.5;0.0;9.1;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;3e;8;7;15;8;7;15;9.65;10;5.15;5.47;37.5;14.3;26.7;0.0;28.6;13.3;37.5;28.6;33.3;25.0;14.3;20.0;0.0;14.3;6.7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;Cycle 1;30;17;47;29;16;45;14.88;14.91;5.15;5.47;10.3;6.3;8.9;0.0;12.5;4.4;17.2;18.8;17.8;24.1;12.5;20.0;27.6;37.5;31.1;17.2;6.3;13.3;3.4;6.3;4.4;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;2nde A2;2;2;4;2;2;4;11.97;12.17;9.53;11.38;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.0;0.0;25.0;50.0;50.0;50.0;0.0;50.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;2nde D;3;0;3;3;0;3;11.34;0;9.62;0;0.0;;0.0;0.0;;0.0;0.0;;0.0;33.3;;33.3;66.7;;66.7;0.0;;0.0;0.0;;0.0;0.0;;0.0;;;;
CPEG PROVIDENCE;1ère A2;7;0;7;7;0;7;13.35;0;9.12;0;0.0;;0.0;0.0;;0.0;0.0;;0.0;57.1;;57.1;28.6;;28.6;14.3;;14.3;0.0;;0.0;0.0;;0.0;;;;
CPEG PROVIDENCE;Tle A2;3;8;11;3;7;10;11.18;13.02;9.36;7.65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.3;10.0;66.7;0.0;20.0;33.3;57.1;50.0;0.0;28.6;20.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;Tle D;7;5;12;7;5;12;13.47;11.76;8.76;9.47;0.0;0.0;0.0;0.0;0.0;0.0;42.9;0.0;25.0;14.3;20.0;16.7;28.6;80.0;50.0;14.3;0.0;8.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG PROVIDENCE;Cycle 2;22;15;37;22;14;36;13.47;13.02;8.76;0;0.0;0.0;0.0;0.0;0.0;0.0;13.6;7.1;11.1;40.9;7.1;27.8;36.4;64.3;47.2;9.1;21.4;13.9;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SEWA;6e;12;9;21;12;9;21;14.39;17.38;7.91;8.59;0.0;0.0;0.0;0.0;0.0;0.0;8.3;11.1;9.5;16.7;22.2;19.0;41.7;11.1;28.6;25.0;11.1;19.0;8.3;22.2;14.3;0.0;22.2;9.5;;;;
CPEG SEWA;5e;15;7;22;15;7;22;17.84;13.06;8.82;7.64;0.0;0.0;0.0;0.0;0.0;0.0;13.3;28.6;18.2;13.3;14.3;13.6;20.0;42.9;27.3;33.3;14.3;27.3;6.7;0.0;4.5;13.3;0.0;9.1;;;;
CPEG SEWA;4e;3;9;12;3;9;12;10.31;15.93;8.74;9.11;0.0;0.0;0.0;0.0;0.0;0.0;33.3;0.0;8.3;33.3;33.3;33.3;33.3;44.4;41.7;0.0;11.1;8.3;0.0;11.1;8.3;0.0;0.0;0.0;;;;
CPEG SEWA;3e;8;8;16;8;8;16;15.42;12.67;7.42;7.79;0.0;0.0;0.0;12.5;0.0;6.3;25.0;25.0;25.0;37.5;25.0;31.3;12.5;37.5;25.0;0.0;12.5;6.3;12.5;0.0;6.3;0.0;0.0;0.0;;;;
CPEG SEWA;Cycle 1;38;33;71;38;33;71;17.84;17.38;7.42;7.64;0.0;0.0;0.0;2.6;0.0;1.4;15.8;15.2;15.5;21.1;24.2;22.5;26.3;33.3;29.6;21.1;12.1;16.9;7.9;9.1;8.5;5.3;6.1;5.6;;;;
CPEG SEWA;2nde A2;3;1;4;3;1;4;11.6;8.1;10.3;8.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;25.0;0.0;0.0;0.0;100.0;0.0;75.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SEWA;1ère A2;3;5;8;3;5;8;13.61;11.01;8.9;0;0.0;20.0;12.5;0.0;0.0;0.0;33.3;0.0;12.5;0.0;0.0;0.0;33.3;80.0;62.5;33.3;0.0;12.5;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SEWA;Cycle 2;6;6;12;6;6;12;13.61;11.01;8.9;0;0.0;16.7;8.3;0.0;0.0;0.0;16.7;16.7;16.7;0.0;0.0;0.0;66.7;66.7;66.7;16.7;0.0;8.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;6e;12;11;23;12;11;23;17.73;15.44;9.16;6.7;0.0;0.0;0.0;0.0;9.1;4.3;0.0;0.0;0.0;8.3;0.0;4.3;41.7;27.3;34.8;25.0;36.4;30.4;0.0;27.3;13.0;25.0;0.0;13.0;;;;
CPEG SOLIDARITE;5e;14;17;31;14;17;31;16.98;17.48;8.37;8.98;0.0;0.0;0.0;0.0;0.0;0.0;7.1;5.9;6.5;14.3;17.6;16.1;42.9;35.3;38.7;28.6;17.6;22.6;0.0;11.8;6.5;7.1;11.8;9.7;;;;
CPEG SOLIDARITE;4e;12;12;24;12;12;24;13.26;14.22;9.43;6.91;0.0;0.0;0.0;0.0;8.3;4.2;0.0;8.3;4.2;16.7;8.3;12.5;58.3;41.7;50.0;25.0;16.7;20.8;0.0;16.7;8.3;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;3e;16;15;31;16;15;31;12.61;14.83;6.79;6.76;0.0;0.0;0.0;6.3;6.7;6.5;31.3;40.0;35.5;18.8;20.0;19.4;37.5;6.7;22.6;6.3;13.3;9.7;0.0;13.3;6.5;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;Cycle 1;54;55;109;54;55;109;17.73;17.48;6.79;6.7;0.0;0.0;0.0;1.9;5.5;3.7;11.1;14.5;12.8;14.8;12.7;13.8;44.4;27.3;35.8;20.4;20.0;20.2;0.0;16.4;8.3;7.4;3.6;5.5;;;;
CPEG SOLIDARITE;2nde A2;2;2;4;2;2;4;11.71;13.79;10.39;11.9;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;50.0;75.0;0.0;50.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;2nde D;5;4;9;5;4;9;14.03;14.07;9.06;10.45;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;22.2;20.0;25.0;22.2;20.0;50.0;33.3;20.0;25.0;22.2;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;1ère A2;4;10;14;4;10;14;12.84;12.32;10.13;8.94;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0;7.1;0.0;30.0;21.4;75.0;50.0;57.1;25.0;10.0;14.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;1ère D;4;6;10;4;6;10;15.34;12.14;8.6;7.87;0.0;0.0;0.0;0.0;0.0;0.0;25.0;50.0;40.0;50.0;16.7;30.0;0.0;16.7;10.0;0.0;16.7;10.0;25.0;0.0;10.0;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;Tle A2;5;9;14;5;9;14;12.2;12.41;9.42;8.75;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.1;7.1;20.0;22.2;21.4;60.0;33.3;42.9;20.0;33.3;28.6;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG SOLIDARITE;Tle D;8;9;17;8;9;17;12.74;16.23;7.84;9.07;0.0;0.0;0.0;0.0;0.0;0.0;25.0;0.0;11.8;37.5;33.3;35.3;25.0;44.4;35.3;12.5;11.1;11.8;0.0;0.0;0.0;0.0;11.1;5.9;;;;
