COLLEGES;CLASSES;EFF_G;EFF_F;EFF_T;PRES_G;PRES_F;PRES_T;MOY_MAX_F;MOY_MAX_G;MOY_MIN_F;MOY_MIN_G;inf_6.5_G;inf_6.5_F;inf_6.5_T;6.5_7.5_G;6.5_7.5_F;6.5_7.5_T;7.5_9_G;7.5_9_F;7.5_9_T;9_10_G;9_10_F;9_10_T;10_12_G;10_12_F;10_12_T;12_14_G;12_14_F;12_14_T;14_16_G;14_16_F;14_16_T;sup_16_G;sup_16_F;sup_16_T;;;;
CPEG BONFEREY;6e;10;10;20;10;9;19;13.87;13.27;8.75;9.83;0.0;0.0;0.0;0.0;0.0;0.0;10.0;0.0;5.3;10.0;11.1;10.5;10.0;66.7;36.8;70.0;22.2;47.4;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG BONFEREY;5e;11;10;21;11;8;19;16.96;13.9;10.23;9.18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;12.5;5.3;54.5;37.5;47.4;9.1;50.0;26.3;27.3;0.0;15.8;9.1;0.0;5.3;;;;
CPEG BONFEREY;4e;20;7;27;20;7;27;15.27;15.67;8.39;8.45;0.0;0.0;0.0;0.0;0.0;0.0;10.0;14.3;11.1;20.0;28.6;22.2;45.0;28.6;40.7;15.0;14.3;14.8;10.0;14.3;11.1;0.0;0.0;0.0;;;;
CPEG BONFEREY;3e;12;6;18;10;6;16;12.59;11.27;9.1;7;0.0;0.0;0.0;0.0;16.7;6.3;0.0;16.7;6.3;20.0;16.7;18.8;70.0;50.0;62.5;10.0;0.0;6.3;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG BONFEREY;Cycle 1;53;33;86;51;30;81;16.96;15.67;8.39;7;0.0;0.0;0.0;0.0;3.3;1.2;5.9;6.7;6.2;13.7;16.7;14.8;45.1;46.7;45.7;23.5;23.3;23.5;9.8;3.3;7.4;2.0;0.0;1.2;;;;
CPEG BONFEREY;2nde A2;0;2;2;0;2;2;;12.85;;12.37;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;0.0;0.0;;100.0;100.0;;0.0;0.0;;0.0;0.0;;;;
CPEG BONFEREY;2nde D;4;4;8;3;4;7;12.23;12.56;9.84;10.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;0.0;14.3;0.0;75.0;42.9;66.7;25.0;42.9;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG BONFEREY;Cycle 2;4;6;10;3;6;9;12.23;12.85;0;10.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;33.3;0.0;11.1;0.0;50.0;33.3;66.7;50.0;55.6;0.0;0.0;0.0;0.0;0.0;0.0;;;;
CPEG CHAMPAGNAT;6e;25;19;44;25;19;44;16.96;17.67;8.31;9.6;0.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;2.3;4.0;10.5;6.8;32.0;36.8;34.1;24.0;26.3;25.0;20.0;21.1;20.5;16.0;5.3;11.4;;;;
CPEG CHAMPAGNAT;5e;24;18;42;24;18;42;18.16;16.5;9.44;9.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8.3;5.6;7.1;25.0;16.7;21.4;12.5;33.3;21.4;33.3;27.8;31.0;20.8;16.7;19.0;;;;
